matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-11-21,341311,Leicester,7,375,7,5,9,12,75,3,8,45.7,1,1,17
2015-11-28,341320,Leicester,7,267,3,2,1,5,64,1,7,31.1,3,0,59
2015-12-05,341334,Leicester,7,386,5,5,8,19,72,3,3,41,2,3,35
2015-12-14,341340,Leicester,7,275,5,3,1,16,60,2,8,34.4,0,2,100
2015-12-19,341349,Leicester,7,272,5,5,2,14,61,3,6,32.6,2,1,100
2015-12-26,341360,Leicester,7,278,3,3,6,8,57,0,11,35.2,1,1,58
2016-01-02,341380,Leicester,7,479,2,12,7,9,79,0,5,53.5,0,1,88
2015-12-29,341370,Leicester,7,329,4,7,1,11,62,0,8,39.3,2,1,88
2015-08-09,341195,Liverpool,8,478,3,1,5,16,79,1,9,53,2,4,61
2015-08-17,341199,Liverpool,8,492,2,11,6,11,82,1,17,54.9,1,1,58
2015-08-24,341207,Liverpool,8,351,8,4,8,13,71,0,2,34.3,4,4,92
2015-08-29,341220,Liverpool,8,543,1,7,5,17,85,0,12,62.7,1,3,92
2015-09-12,341231,Liverpool,8,446,4,4,4,11,77,1,6,44.3,2,2,69
2015-09-20,341240,Liverpool,8,579,7,7,6,4,83,1,13,58.9,3,1,60
2015-09-26,341248,Liverpool,8,570,12,2,11,8,89,3,12,62.4,3,0,60
2015-10-04,341262,Liverpool,8,372,4,5,11,19,80,1,10,49.1,0,3,100
2015-10-17,341274,Liverpool,8,441,3,4,6,11,75,0,15,51.5,5,2,66
2015-10-31,341287,Liverpool,8,568,7,5,7,21,82,3,9,57.4,2,4,88
2015-10-25,341281,Liverpool,8,586,2,8,10,8,83,1,11,60.3,4,1,88
2015-11-08,341301,Liverpool,8,499,4,9,14,7,82,1,6,63.8,1,1,49
2015-11-21,341310,Liverpool,8,390,9,2,5,13,68,4,5,41.6,5,3,54
2015-11-29,341321,Liverpool,8,534,2,3,8,12,81,1,5,53.7,0,3,82
2015-12-06,341331,Liverpool,8,574,1,7,7,10,78,0,6,60.2,2,1,67
2015-12-13,341341,Liverpool,8,642,8,11,4,7,82,2,9,70.4,1,0,55
2015-12-20,341355,Liverpool,8,500,4,4,9,9,75,0,6,64.9,10,0,63
2015-12-26,341360,Liverpool,8,517,5,12,7,11,76,1,7,64.8,5,2,63
2016-01-02,341386,Liverpool,8,502,2,9,9,8,78,0,10,64.4,3,1,77
2015-12-30,341373,Liverpool,8,465,6,7,4,16,72,1,8,57.7,0,3,77
2015-08-10,341196,Man City,9,764,7,2,6,9,91,3,12,69.1,0,1,53
2015-08-16,341200,Man City,9,423,8,6,5,19,82,3,13,49.2,1,4,78
2015-08-23,341209,Man City,9,487,9,3,7,7,85,2,5,54.3,2,3,52
2015-08-29,341221,Man City,9,645,5,8,9,9,92,2,12,58.7,1,1,52
2015-09-12,341228,Man City,9,498,7,9,4,13,81,1,13,57.8,0,3,29
2015-09-19,341241,Man City,9,669,8,9,16,10,89,1,7,71.5,2,1,78
2015-09-26,341253,Man City,9,478,8,6,9,6,76,1,17,54,3,1,48
2015-10-03,341263,Man City,9,590,11,8,7,13,84,6,8,64.3,1,3,46
2015-10-17,341270,Man City,9,566,11,5,1,11,83,5,5,54.4,2,2,23
2015-10-25,341282,Man City,9,386,1,2,4,13,72,0,17,41.3,0,2,73
2015-10-31,341290,Man City,9,722,5,10,12,4,90,2,12,70.8,4,2,73
2015-11-08,341298,Man City,9,578,3,5,8,7,85,0,7,59.3,1,1,27
2015-11-21,341310,Man City,9,530,3,5,11,5,77,1,13,58.4,1,0,37
2015-11-28,341322,Man City,9,390,9,1,6,14,80,3,10,45.9,2,2,65
2015-12-05,341333,Man City,9,462,4,6,6,10,72,0,9,53.5,0,1,41
2015-12-12,341342,Man City,9,557,5,4,5,13,89,2,13,53,3,3,37
2015-12-26,341361,Man City,9,616,9,6,6,10,88,4,11,66.4,3,1,88
2015-12-21,341347,Man City,9,648,6,8,8,16,88,1,5,62.7,1,2,88
2016-01-02,341384,Man City,9,439,5,7,5,10,75,2,5,51.9,1,0,72
